customerID,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,ChurnProbability,RiskLevel,ExpectedRevenueAtRisk,RetentionPriority
0295-PPHDO,1,Month-to-month,95.45,95.45,Fiber optic,Electronic check,No,No,98.09449,High Risk,93.63118802309036,Priority 2
1069-XAIEM,1,Month-to-month,85.05,85.05,Fiber optic,Electronic check,No,No,97.796906,High Risk,83.17626773715018,Priority 2
5178-LMXOP,1,Month-to-month,95.1,95.1,Fiber optic,Electronic check,No,No,97.70824,High Risk,92.9205335497856,Priority 2
6861-XWTWQ,7,Month-to-month,99.25,665.45,Fiber optic,Electronic check,No,No,97.05967,High Risk,645.8835547864437,Priority 1
9248-OJYKK,1,Month-to-month,76.45,76.45,Fiber optic,Electronic check,No,No,96.996475,High Risk,74.15380457639695,Priority 2
2609-IAICY,1,Month-to-month,77.15,77.15,Fiber optic,Electronic check,No,No,96.85523,High Risk,74.72381387948991,Priority 2
6857-VWJDT,1,Month-to-month,95.65,95.65,Fiber optic,Mailed check,No,No,96.77278,High Risk,92.56316789090634,Priority 2
9057-SIHCH,3,Month-to-month,96.6,291.9,Fiber optic,Electronic check,No,No,96.61383,High Risk,282.015770727396,Priority 1
8375-DKEBR,1,Month-to-month,69.6,69.6,Fiber optic,Electronic check,No,No,96.61167,High Risk,67.24172415733337,Priority 2
3006-XIMLN,2,Month-to-month,94.2,193.8,Fiber optic,Bank transfer (automatic),No,No,96.61099,High Risk,187.23210471868515,Priority 2
2545-EBUPK,2,Month-to-month,84.05,186.05,Fiber optic,Electronic check,No,No,96.546646,High Risk,179.62503111064436,Priority 2
2254-DLXRI,1,Month-to-month,79.15,79.15,Fiber optic,Mailed check,No,No,96.32823,High Risk,76.24379774332047,Priority 2
5167-ZFFMM,1,Month-to-month,90.85,90.85,Fiber optic,Credit card (automatic),No,No,96.318596,High Risk,87.50544501245021,Priority 2
1820-TQVEV,1,Month-to-month,69.55,69.55,Fiber optic,Electronic check,No,No,96.26617,High Risk,66.9531200915575,Priority 2
0679-IDSTG,1,Month-to-month,69.25,69.25,Fiber optic,Electronic check,No,No,96.225235,High Risk,66.63597720861435,Priority 2
3716-BDVDB,1,Month-to-month,69.1,69.1,Fiber optic,Electronic check,No,No,95.97128,High Risk,66.31615471243857,Priority 2
6230-BSUXY,1,Month-to-month,85.0,85.0,Fiber optic,Electronic check,No,No,95.96167,High Risk,81.56742125749588,Priority 2
4750-ZRXIU,4,Month-to-month,84.6,360.1,Fiber optic,Electronic check,No,No,95.80871,High Risk,345.00715991258625,Priority 1
8739-XNIKG,5,Month-to-month,84.0,424.75,Fiber optic,Electronic check,No,No,95.63462,High Risk,406.2080543190241,Priority 1
2514-GINMM,1,Month-to-month,79.5,79.5,Fiber optic,Electronic check,No,No,95.584404,High Risk,75.98960155248642,Priority 2
7180-PISOG,1,Month-to-month,74.5,74.5,Fiber optic,Electronic check,No,No,95.32042,High Risk,71.01371398568153,Priority 2
2202-CUYXZ,1,Month-to-month,84.85,84.85,Fiber optic,Electronic check,No,No,95.22182,High Risk,80.79571214318275,Priority 2
1143-NMNQJ,2,Month-to-month,85.7,169.8,Fiber optic,Electronic check,No,No,95.20285,High Risk,161.6544414997101,Priority 2
0655-RBDUG,7,Month-to-month,98.05,713.0,Fiber optic,Bank transfer (automatic),No,No,95.09359,High Risk,678.0172968506813,Priority 1
5196-SGOAK,1,Month-to-month,75.7,75.7,Fiber optic,Electronic check,No,No,94.93345,High Risk,71.86462181806564,Priority 2
